Ticker,ISIN,CUSIP,Name,Global Broad Category Group,Global Category,Morningstar Category,Domicile,Exchange,Exchange Country,SecId,Investment Type,Figi
YXM.B,CA31864M1279,31864M127,First Asset Mstar US Mom ETF Uhgd Comm,Equity,US Equity Mid Cap,Canada Fund US Small/Mid Cap Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000QKWE,Exchange-Traded Fund,BBG005FHW4M6
XXM,CA31864L1114,31864L111,First Asset Mstar US Value ETF CADH Comm,Equity,US Equity Mid Cap,Canada Fund US Small/Mid Cap Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000QKWG,Exchange-Traded Fund,BBG005FHW6H7
XXM.B,CA31864L1296,31864L129,First Asset Mstar US Value ETF Uhgd Comm,Equity,US Equity Mid Cap,Canada Fund US Small/Mid Cap Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000QKWI,Exchange-Traded Fund,BBG005FHW8D7
ZXM,CA31865B1040,31865B104,First Asset MstarIntlMom ETF Comm (CADH),Equity,Global Equity,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UQN0,Exchange-Traded Fund,BBG007JVJ1X6
ZXM.B,CA31865B3020,31865B302,First Asset MstarIntlMom ETF Comm(UnHdg),Equity,Global Equity,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UQN2,Exchange-Traded Fund,BBG007JVJ3Q0
VXM,CA31864Y1051,31864Y105,First Asset MstarIntlValETF Comm (CADH),Equity,Global Equity,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UQMW,Exchange-Traded Fund,BBG007JVJ8Y0
VXM.B,CA31864Y3032,31864Y303,First Asset MstarIntlValETF Comm (UnHdg),Equity,Global Equity,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UQMY,Exchange-Traded Fund,BBG007JVJRQ7
UXM,CA31862J1003,31862J100,First Asset MstarUSDivTgt50 ETF CADHComm,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000NP1O,Exchange-Traded Fund,BBG002H272N5
UXM.B,CA31862J1342,31862J134,First Asset MstarUSDivTgt50 ETF UhgdComm,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000QKWK,Exchange-Traded Fund,BBG005FHWL57
FPR,CA31866C1014,31866C101,First Asset Preferred Share ETF,Fixed Income,Canada Fixed Income,Canada Fund Preferred Share Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000X8N2,Exchange-Traded Fund,BBG00CX1FM54
FGB,CA31866L1013,31866L101,First Asset Short Term Govt Bd Idx ETF,Fixed Income,Canada Fixed Income,Canada Fund Canadian Short Term Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000WX7P,Exchange-Traded Fund,BBG00CC0DG90
TXF,CA31863X1087,31863X108,First Asset TecGntsCovCallETF Comm(CADH),Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000NAHY,Exchange-Traded Fund,BBG0026ZLTC1
TXF.B,,31863X124,First Asset TecGntsCovCallETFComm(UnHdg),Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZFWY,Exchange-Traded Fund,BBG00HM6H1M9
FBU,CA31867A1049,31867A104,First Asset U.S. Buyback ETF,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000XPYM,Exchange-Traded Fund,BBG00DSBDSP3
FUT,CA31867N1069,31867N106,First Asset U.S. Tactical Sctr Alloc ETF,Allocation,Flexible Allocation,Canada CE Tactical Balanced,Canada,TORONTO STOCK EXCHANGE,Canada,F00000XXG0,Exchange-Traded Fund,BBG00F0K1L58
FLI,CA31864W1095,31864W109,First Asset US & Can Lifeco Inc ETF Comm,Equity,Financials Sector Equity,Canada Fund Financial Services Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UN2F,Exchange-Traded Fund,BBG004TV4XH6
